City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Leesburg,US,85.1,clear sky,39.1157,-77.5636,"Homewood Suites by Hilton Leesburg, VA"
668,Keningau,MY,84.34,scattered clouds,5.3378,116.1602,Sabindo Hotel
669,Sakaiminato,JP,76.53,scattered clouds,35.55,133.2333,Italian pasley
670,Harindanga,IN,84.7,overcast clouds,22.0383,88.3214,Hasanur Builders
675,Mentakab,MY,81.14,broken clouds,3.4865,102.3516,neotel hotel kuala lumpur
679,Elizabeth City,US,84.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
682,Sabang,ID,81.64,light rain,5.8933,95.3214,Hotel Citra
683,Aswan,EG,84.07,broken clouds,24.0934,32.907,Nuba Nile
684,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
686,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
688,Musiri,IN,78.84,overcast clouds,10.9333,78.45,HOTEL GATEWAY
692,Levelland,US,83.19,broken clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
693,Naze,JP,82.47,overcast clouds,28.3667,129.4833,Shishime Hotel
694,Prainha,BR,75.87,broken clouds,-1.8,-53.48,Casa Rocha
700,Minab,IR,88.02,overcast clouds,27.1467,57.0801,Bam campground
701,Labuhan,ID,81.07,few clouds,-6.8844,112.2051,DoubleFAG
702,Manaure,CO,81.55,broken clouds,11.7751,-72.4445,Hotel Palaaima
